NOME_FANTASIA,MUNICIPIO,RUA,BAIRRO,Latitude,Longitude
CLINICA DE PSICOLOGIA KARINA CERDEIRA,Rio de Janeiro,AV DAS AMERICAS,RECREIO DOS BANDEIRA,-23.0201996,-43.4860207
FLORESCER,Rio de Janeiro,DAS AMERICAS,BARRA DA TIJUCA,-23.0017453114,-43.387832905
INSTITUTO CRESCER,Rio de Janeiro,AVENIDA MARACANA,TIJUCA,-22.9277254668,-43.2329177856
PALAVRAS PARA FLORESCER PSICOLOGIA,Rio de Janeiro,AV RAYMUNDO MAGALHAES JUNIOR,BARRA DA TIJUCA,-23.002295,-43.37169
NUCLEO DE REABILITACAO FISIOTERAPICO VANESSA MEIRELES DA ROC,Rio de Janeiro,RUA CACHAMBI,CACHAMBI,-22.895,-43.274
ACONTECER ESPACO DO DESENVOLVIMENTO,Rio de Janeiro,AV AYRTON SENNA,BARRA DA TIJUCA,-22.9856298,-43.3659864
ESPACO TERAPEUTICO AUTISMO MAIS,Duque de Caxias,DOUTOR MANOEL TELES,CENTRO,-22.7969560509,-43.3223154772
OTOLIFE FONOAUDIOLOGIA E REABILITACAO AUDITIVA,Rio de Janeiro,AVENIDA ARMANDO LOMBARDI,BARRA DA TIJUCA,-23.014,-43.314
LARISSA LACERDA PSICOLOGIA INFANTIL,Rio de Janeiro,ESTRADA MACEMBU,TAQUARA,-22.9232986053,-43.3777570724
KARDIO O2 REABILITACAO,Rio de Janeiro,AVENIDA JOSE SILVA DE AZEVEDO NETO,BARRA DA TIJUCA,-22.95913,-42.96596
CLINICA DE REABILITACAO DA ILHA,Rio de Janeiro,AV GOVERNADOR CHAGAS FREITAS,MONERO,-22.7987084896,-43.1967475423
CENTRO ESPECIALIZADO DE REABILITACAO AS CRIANCAS NEUROATIPIC,Belford Roxo,RUA ERICK,PIAM,-22.7487983,-43.4024039
ESPACO CRESCER DIF,Rio de Janeiro,RUA GAGO COUTINHO,LARANJEIRAS,-22.9313868,-43.1820094
MOTUS REABILITACAO,Rio de Janeiro,VISCONDE DE PIRAJA,IPANEMA,-22.983,-43.2118
INTEGRASER CLINICA MULTIDISCIPLINAR E REABILITACAO,Rio de Janeiro,RUA DOUTOR BULHOES,ENGENHO DE DENTRO,-22.900667,-43.29759
FISIOARE FISIOTERAPIA ACUPUNTURA E REABILITACAO,Rio de Janeiro,NOSSA SRA DE COPACABANA,COPACABANA,-22.97016,-43.18567
CERTAM FISIOTERAPIA E PILATES,Rio de Janeiro,RUA BARAO DO FLAMENGO,FLAMENGO,-22.932754458,-43.1754565624
FISIOREABILITACAO,Rio de Janeiro,RUA ARAGUAIA,FREGUESIA,-22.830405,-43.6188139
SER PRA CRESCER,Rio de Janeiro,AVENIDA DAS AMERICAS,RECREIO DOS BANDEIRA,-23.01519,-43.47146
RENASCER SORRISOS,Rio de Janeiro,TV DA CHACARA,TANQUE,-22.915137808,-43.3624441183
CENTRO DE REABILITACAO AMERICAS,Rio de Janeiro,AV DAS AMERICAS,RECREIO DOS BANDEIRA,-23.0006544026,-43.421114154
KMCB REABILITACAO MOTORA,Rio de Janeiro,R AGUIAR,TIJUCA,-22.9229823954,-43.2586669922
CRIS CENTRO DE REABILITACAO INTEGRADA EM SAUDE,Rio de Janeiro,RUA GAGO COUTINHO,LARANJEIRAS,-22.3993340995,-42.9629641771
CENTRO DE ESTUDOS DE REABILITACAO E PEDAGOGIA LTDA,Nova Iguaçu,RUA JOAO MARTINS 439,K 11,-22.767813,-43.4387476
MOVE KIDS REABILITACAO,Rio de Janeiro,R JOSE BONIFACIO,TODOS OS SANTOS,-22.8879981857,-43.2840263171
FISIO REHAB FISIOTERAPIA E REABILITACAO,Rio de Janeiro,RUA SALINOPOLIS,TAQUARA,-22.9157575,-43.3900348
CTA FISIOTERAPIA E REABILITACAO,Rio de Janeiro,RUA ARATICUM,ANIL,-22.71702543,-43.412172496
CLIMFIR CLINICA DE MEDICINA FISICA E REABILITACAO,Rio de Janeiro,RUA DO CATETE 311,CATETE,-22.9227650006,-43.1766557693
RENATO CORTES DE LACERDA,Rio de Janeiro,RUA HADDOCK LOBO,TIJUCA,-22.9244053342,-43.2246780396
CENTRO DE REABILITACAO DO MOVIMENTO DO LEBLON,Rio de Janeiro,AVENIDA ATAULFO DE PAIVA,LEBLON,-22.98378,-43.21838
CAPSI MIGUEL COUTO,Nova Iguaçu,AVENIDA HENRIQUE DUQUE ESTRADA MEYER,MIGUEL COUTO,-22.7037944706,-43.433464946
MAOLIVRE CENTRO DE REABILITACAO DO MEMBRO SUPERIOR,Niterói,R GAVIAO PEIXOTO,ICARAI,-22.88333,-43.10361
GISELLE IANNARELLA LACERDA,Rio de Janeiro,AV NOSSA SENHORA DE COPACABANA,COPACABANA,-22.9865103,-43.1898361
ANA MARIA MOSCA DE CERQUEIRA,Rio de Janeiro,RUA REAL GRANDEZA,BOTAFOGO,-22.953,-43.194
JOANA DE ALENCAR MATOS CERQUEIRA,Rio de Janeiro,RUA VOLUNTARIOS DA PATRIA,BOTAFOGO,-22.9525049,-43.1909754
RM3 REABILITACAO SAUDE E PERFORMANCE,Rio de Janeiro,ESTRADA DOS TRES RIOS,FREGUESIA,-22.9364799499,-43.3323821425
CERVICAL SOCIEDADE SIMPLES,Rio de Janeiro,AVENIDA DAS AMERICAS,BARRA DA TIJUCA,-23.0028275,-43.32117411
CEFIR FISIOTERAPIA E REABILITACAO FILIAL,Rio de Janeiro,RUA MARIO HERMES,BENTO RIBEIRO,-22.8642176,-43.3599297
DQ ODONTOLOGIA ESTETICA E REABILITACAO ORAL,Rio de Janeiro,AVENIDA DAS AMERICAS,BARRA DA TIJUCA,-22.8779347,-43.22721
CENTRO ESP DE REABILITACAO CER II NORMA BASTOS FERNANDES,São João de Meriti,RUA IRACEMA,PARQUE NOVO RIO,-22.8026308067,-43.3724570274
XFISIO CENTRO DE REABILITACAO E PERFORMANCE FISICA,Rio de Janeiro,RUA MARECHAL CAMARA,CENTRO,-22.7804945,-43.3353312
M G SAUDE E REABILITACAO,Rio de Janeiro,R BOM PASTOR,TIJUCA,-22.9282092,-43.2303264
CLINICA FLORESCER,Nova Iguaçu,R GETULIO VARGAS,CENTRO,-22.76197545,-43.450675399
ESCOLA ESPECIAL CRESCER LTDA,Niterói,R JOSE JOAQUIM PEREIRA CALDAS,PIRATININGA,-22.9397904137,-43.0645095
PONTO DE EQUILIBRIO REABILITACAO SAUDE ESTETICA,Niterói,ESTRADA FRANCISCO DA CRUZ NUNES,ITAIPU,-22.9213222811,-43.0538749695
FLORESCER CLINICA DE PSICOLOGIA E SAUDE,Rio de Janeiro,AV CESARIO DE MELO,CAMPO GRANDE,-22.539207765,-43.026419858
UNIR NEUROLOGIA INFANTIL E REABILITACAO,Rio de Janeiro,LRG DOS LEOES,HUMAITA,-22.9534422,-43.19647142
NASCER CARIOCA,Rio de Janeiro,R ENGENHEIRO ENALDO CRAVO PEIXOTO,TIJUCA,-22.9225552441,-43.234513744
AGUA VIVA CLINICA DE REABILITACAO EMOCIONAL,Rio de Janeiro,AV DAS AMERICAS,BARRA DA TIJUCA,-23.0017977905,-43.3183580618
CINETICA ON REABILITACAO CARDIOPULMONAR,Rio de Janeiro,RUA PAULA FREITAS,COPACABANA,-22.9672354,-43.1835746
SEMENTE REABILITACAO INFANTIL,Niterói,R DOUTOR OLIVEIRA BOTELHO,SAO FRANCISCO,-22.9176738936,-43.0858368153
CLINICA ALQUIMIA DE REABILITACAO,Rio de Janeiro,RUA TERESA GUIMARAES,BOTAFOGO,-22.94561,-43.18621
ESPACO FLORESCER,Rio de Janeiro,RUA JOSE BONIFACIO,TODOS OS SANTOS,-22.8889708,-43.2836392
FRAME CLINICA DE TRATAMENTO E REABILITACAO,Rio de Janeiro,RUA MARQUESA DE SANTOS,LARANJEIRAS,-22.9303478,-43.1812653
FISIOTERAPIA DO SER ESPEC EM REABILITACAO E BEM ESTAR,Rio de Janeiro,AVENIDA ATAULFO DE PAIVA,LEBLON,-22.874,-43.2283473
FISCORPP RIACHUELO CLINICA DE REABILITACAO,Rio de Janeiro,R CLARA DE BARROS,RIACHUELO,-22.9002792477,-43.2580684041
RESPIRAR E CRESCER FISIOTERAPIA,Rio de Janeiro,EST DO GUANUMBI,FREGUESIA JACAREPAG,-22.8767089811,-43.2278966904
CENTRO INTEGRADO DE REABILITACAO PERFORMANCE E SAUDE,Rio de Janeiro,RUA SACOB GORENDER HISTORIADOR,RECREIO DOS BANDEIRA,-23.015,-43.473
SONIA PABST CENTRO DE REABILITACAO DA COLUNA VERTEBRAL,Rio de Janeiro,EST DO GALEAO,ILHA DO GOVERNADOR,-22.858,-43.258
SMS CAPS III ARTHUR BISPO DO ROSARIO AP 40,Rio de Janeiro,AVENIDA TEIXEIRA BRANDAO,TAQUARA,-22.94849,-43.394804
ROBERTO LUCIO CERDEIRA,São João de Meriti,RUA MANOEL FRANCISCO DA ROSA,CENTRO,-22.802235193,-43.3717703819
SMS CAPS FERNANDO DINIZ,Rio de Janeiro,LEOPOLDINA REGO,PENHA,-22.842274,-43.270785
CERVIX LTDA,Rio de Janeiro,R MARQUES DE SAO VICENTE,GAVEA,-22.9783392,-43.2337317
CAPS INFANTO JUVENIL ZE GAROTO,São Gonçalo,RUA VEREADOR CLEMETE SOUZA E SILVA,ZE GAROTO,-22.817526,-43.019528
INSTITUTO ESPECTRO AUTISMO,Rio de Janeiro,RUA HADDOCK LOBO,TIJUCA,-22.919,-43.215
FLORESCER SERVICOS DE TERAPIA OCUPACIONAL,Rio de Janeiro,TV MANICORE,OLARIA,-22.8512694,-43.2716703
SMS CAPS DIRCINHA E LINDA BATISTA AP 33,Rio de Janeiro,RUA JORNALISTA HERMANO REQUIAO,GUADALUPE,-22.84665,-43.3787
FONO DO AUTISMO,Nova Iguaçu,AV DOUTOR MARIO GUIMARAES,CENTRO,-22.759614,-43.4575254
SMS CAPS III CLARICE LISPECTOR AP 32,Rio de Janeiro,RUA DOIS DE FEVEREIRO,ENCANTADO,-22.902382,-43.302303
SAUDE E VIDA E REABILITACAO,Rio de Janeiro,R CONDE DEU,BARRA DA TIJUCA,-23.008747434,-43.295998373
SMS CAPS AD RAUL SEIXAS AP 32,Rio de Janeiro,RUA DOIS DE FEVEREIRO,ENCANTADO,-22.90302,-43.30271
CROI CENTRO DE REABILITACAO ORAL INTEGRADA,Rio de Janeiro,RUA BUENOS AIRES,CENTRO,-22.90298,-43.1795
SMS CAPSIII MARIA CLARA MACHADO AP 32,Rio de Janeiro,RUA HONORIO,TODOS OS SANTOS,-22.89104,-43.31109
FRAME CLINICA DE TRATAMENTO E REABILITACAO,Rio de Janeiro,RUA MACHADO DE ASSIS,FLAMENGO,-22.9311159,-43.1759901
ICRO INSTITUTO DE REABILITACAO ORAL,Rio de Janeiro,CESARIO DE MELO,CENTRO,-22.9055588506,-43.5577298315
IRR INSTITUTO DE REABILITACAO RESPIRATORIA,Rio de Janeiro,BVD VINTE E OITO DE SETEMBRO,VILA ISABEL,-22.918,-43.242
MALAFAIA REABILITACAO E ENSINO,Rio de Janeiro,RUA PROFESSOR FERREIRA DA ROSA,BARRA DA TIJUCA,-22.9111866,-43.2082069
CLUBE CRESCER,Niterói,AVENIDA RUI BARBOSA 29,SAO FRANCISCO,-22.9112722,-43.0726558
MOREIRA REABILITACAO E ENSINO,Rio de Janeiro,RUA BOM PASTOR,TIJUCA,-22.9111866,-43.2082069
ENFERMEIRAS OBSTETRICAS FLORNASCER,Rio de Janeiro,R GENERAL CANABARRO,MARACANA,-22.9122819,-43.2238471
DINAMICA SAUDE REABILITACAO,Rio de Janeiro,RUA ALMIRANTE TAMANDARE,FLAMENGO,-22.931714,-43.17708
ESPACO FLORESCER,Rio de Janeiro,LARGO DO MACHADO,CATETE,-22.9312809,-43.1811595
DROGARIA SAUDAVEL PONTO CERTO LTDA ME,Belford Roxo,ANIBAL DA MOTTA,SAO JOSE,-22.7651017397,-43.399643898
INSTITUTO DE REABILITACAO ORAL LTDA,São Gonçalo,RUA FELICIANO SODRE,CENTRO,-22.827,-43.054
CENTRO CLINICO INTEGRADO EXISTE UM LUGAR EXISTE UM CRESCER,Rio de Janeiro,R ENGENHEIRO HAROLDO CAVALCANTI,RECREIO DOS BANDEIRA,-23.021,-43.462
FELIPE CAMPOS REABILITACAO E ENSINO,Rio de Janeiro,RUA URUGUAI,TIJUCA,-22.9111866,-43.2082069
CAPS AD XEREM,Duque de Caxias,RUA MARCIO SANTOS SILVA,MANTIQUIRA XEREM,-22.5852469145,-43.3027450711
CENTRO DE ODONTOLOGIA DE PREVENCAO E REABILITACAO,Rio de Janeiro,AV NOSSA SENHORA DE COPACABANA,COPACABANA,-22.97838181,-43.19097404
CEREJEIRA EM FLOR PSICOLOGIA CLINICA E ORGANIZACIONAL,Rio de Janeiro,AV MARECHAL CAMARA,CENTRO,-22.9093027645,-43.169083
GAC GRUPO DE ANESTESIOLOGIA DO CEREBRO,Rio de Janeiro,AV JOSE SILVA DE AZEVEDO NETO,BARRA DA TIJUCA,-22.988738161,-43.3607196808
ESPACO CORES COMPORTAMENTO REABILITACAO E SAUDE,Rio de Janeiro,RUA ROBERVAL CORDEIRO DE FARIAS,RECREIO DOS BANDEIRA,-23.0176501049,-43.4590068555
HYGIA CENTRO DE REABILITACAO E SAUDE,Rio de Janeiro,R MAESTRO JOSE SIQUEIRA,BARRA DA TIJUCA,-23.0084533,-43.3700663
CRSJ CENTRO DE REABILITACAO SAO JOSE,Rio de Janeiro,MANACEA,MADUREIRA,-22.8698301,-43.3436058
RIO REABILITACAO,Rio de Janeiro,TRAVESSA BRANDURA,VILA DA PENHA,-22.838639,-43.31004
INSTITUTO DE REABILITACAO NEURUS,Rio de Janeiro,R ELIAS LOBO,CAMPO GRANDE,-22.8369459209,-43.3081054688
AG REABILITACAO,Rio de Janeiro,RUA DAS DALIAS,VILA VALQUEIRE,-22.88,-43.351
BRUNA HABILITACAO E REABILITACAO FONOAUDIOLOGICA,Rio de Janeiro,R PROFESSORA CELINA PADILHA,CAMPO GRANDE,-22.9223352311,-43.5484539712
CHAVES LACERDA,Rio de Janeiro,RUA NOSSA SENHORA DE COPACABANA,COPACABANA,-22.7092,-43.21609
MACHADO CERDEIRO SERVICOS MEDICOS,Rio de Janeiro,RUA VOLUNTARIOS DA PATRIA,BOTAFOGO,-22.9526436,-43.18837165
PREFIRE PREPARACAO FISICA E REABILITACAO,Rio de Janeiro,BARAO DO FLAMENGO,FLAMENGO,-22.93,-43.175
ESPACO CRESCER SAUDE E DESENVOLVIMENTO,Niterói,AV ALMIRANTE ARY PARREIRAS,ICARAI,-22.9047425871,-43.0960766906
LUMIA CLINICA ESPECIALIZADA EM REABILITACAO,São João de Meriti,AVENIDA COMENDADOR TELES,VILAR DOS TELLES,-22.77227,-43.37344
FLORESCER PSI,Rio de Janeiro,ESTRADA BLASO TASSO,SANTA CRUZ,-22.953788,-43.672802
MAOLIVRE CENTRO DE REABILITACAO DO MEMBRO SUPERIOR,Niterói,R GAVIAO PEIXOTO,ICARAI,-22.9038872481,-43.1094269031
MASTOCERVIX,Rio de Janeiro,RUA URUGUAI,ANDARAI,-22.9267477219,-43.2451244536
ISAC BORGES LACERDA,Niterói,RUA DR PAULO CESAR,SANTA ROSA,-22.8990452421,-43.1104396031
ORTHO CLINIC SINAPSE REABILITACAO LTDA,Niterói,QUINZE DE NOVEMBRO,CENTRO,-22.8962439,-43.1221308
TAINAH MONCERAT FISIOTERAPIA,Rio de Janeiro,RUA MIGUEL FERNANDES,MEIER,-22.8982122,-43.2701694
CLINICA MULTIDISCIPLINAR BRINCAR CRESCER,Rio de Janeiro,EST CACHAMORRA,CAMPO GRANDE,-22.9369473,-43.558012
SMS CAPS III TORQUATO NETO AP 32,Rio de Janeiro,ESTRADA ADHEMAR BEBIANO,INHAUMA,-22.87227,-43.27269
SOMAR VITTA CENTRO DE REABILITACAO LTDA,Nova Iguaçu,AVENIDA NILO PECANHA,CENTRO,-22.75624085,-43.4466447897
NASCER CARIOCA,Rio de Janeiro,R ENGENHEIRO ENALDO CRAVO PEIXOTO,TIJUCA,-22.922555,-43.234513
CANCER CENTER,Rio de Janeiro,RUA HUMAITA,HUMAITA,-22.9590655,-43.2001979
FISIO TRAINER REABILITACAO FUNCIONAL,Rio de Janeiro,RUA BARAO DE MESQUITA,ANDARAI,-22.9199190735,-43.2311207056
INSTITUTO DA DOR ORO CERVICO FACIAL,Rio de Janeiro,AVENIDA AFRANIO DE MELO FRANCO,LEBLON,-22.98265,-43.21818
SMS CAPS AD MANE GARRINCHA AP 22,Rio de Janeiro,RUA JURUPARI,TIJUCA,-22.510971,-43.54283
CLINICA DE REABILITACAO ORAL SCANDER LTDA,Duque de Caxias,AV PERIMETRAL BRIGADEIRO LIMA E SILVA,JARDIM 25 DE AGOSTO,-22.785253,-43.309888
SMS CAPSI JOAO DE BARRO AP 52,Rio de Janeiro,ESTRADA DO CAMPINHO,CAMPO GRANDE,-22.888053,-43.598344
PROGRAMA NACIONAL DE PREVENCAO DO CANCER,São João de Meriti,RUA VALERIO VILLAS BOAS,CENTRO,-22.8023538772,-43.372027874
CENTRO DE ATENCAO PSICOSSOCIAL INFANTO JUVENIL MANINHO CAPSI,São João de Meriti,AVENIDA PRESIDENTE LINCOLN,JARDIM MERITI,-22.7757138,-43.362221
FISIO TERAPIAS DE REABILITACAO,Rio de Janeiro,ESTRADA DE JACAREPAGUA,FREGUESIA JACAREPA,-22.9531523,-43.3380523
CEREST REGIONAL,Nova Iguaçu,RUA DOM WALMOR,CENTRO,-22.7567121318,-43.4522143762
RT REABILITACAO ORAL E ESTETICA,Rio de Janeiro,EST DOS BANDEIRANTES,TAQUARA,-22.92748,-43.37384
GRUPO INTEGRADO DE REABILITACAO,Niterói,RUA MINISTRO OTAVIO KELLY,ICARAI,-22.9060507749,-43.1014235205
VITOR BARBOSA CERQUEIRA,Nova Iguaçu,RUA GETULIO VARGAS,CENTRO,-22.761688,-43.450338
CENTRO DE REABILITACAO 3JB,Rio de Janeiro,ANTONIO DE ABREU,MADUREIRA,-22.8696611,-43.3409811
CEREST METRO II 1 RJ,Niterói,AVENIDA AMARAL PEIXOTO,CENTRO,-22.8933766421,-43.1224189927
VERTEBRAE FISIOTERAPIA E REABILITACAO,Rio de Janeiro,SENADOR DANTAS,CENTRO,-22.910436,-43.177355
CAPS AD VANDERLEI MARINS,Nova Iguaçu,RUA MIRIM,AUSTIN,-22.7166360786,-43.5289566875
CAPSI DOM ADRIANO HIPOLITO,Nova Iguaçu,RUA HUMBERTO DE CAMPOS,DA LUZ,-22.7574580588,-43.462776361
CORES CLINICA ODONTOLOGICA DE REABILITACAO E ESTETICA,Rio de Janeiro,AV TREZE DE MAIO,CENTRO,-22.9097206771,-43.1769132614
CAPS ALCOOL E OUTRAS DROGAS II SAO GONCALO,São Gonçalo,RUA CORONEL SERRADO,ZE GAROTO,-22.844052,-43.0801685
CAPS AD,São João de Meriti,RUA CLARA COSTA,CENTRO,-22.8028088325,-43.3755040169
SMS CAPS JOAO FERREIRA SILVA FILHO AP 31,Rio de Janeiro,ESTRADA DO ITARARE,COMPLEXO DO ALEMAO,-22.8604987,-43.267441553
SMS CAPS MARIA DO SOCORRO SANTOS AP 21,Rio de Janeiro,ESTRADA DA GAVEA,ROCINHA,-22.98913,-43.25244
DPR REABILITACAO RESPIRATORIA,Rio de Janeiro,AV 28 DE SETEMBRO,VILA ISABEL,-22.8646167,-42.288858
IR IMPLANTERIO CENTRO DE REABILITACAO EM IMPLANTES,Rio de Janeiro,NOSSA SENHORA DE COPACABANA,COPACABANA,-22.972493,-43.1877518
CENTRO DE REABILITACAO OFFREDI VIANNA,Niterói,MIGUEL DE FRIAS,ICARAI,-22.8994159,-43.1120477
URF UNIDADE DE REABILITACAO FONOAUDIOLOGICA,Rio de Janeiro,ESTRADA DE JACAREPAGUA,FREGUESIA JACAREPAGU,-22.9421117674,-43.3416759968
SMS CENTRO DE EMERGENCIA REGIONAL CER LEBLON AP 21,Rio de Janeiro,RUA MARIO RIBEIRO,LEBLON,-22.9766497,-43.2190085
SMS CENTRO DE EMERGENCIA REGIONAL CER CENTRO AP 10,Rio de Janeiro,RUA FREI CANECA,CENTRO,-22.9030019,-43.2080049
SMS CENTRO DE EMERGENCIA REGIONAL CER BARRA AP 40,Rio de Janeiro,AVENIDA AYRTON SENNA,BARRA DA TIJUCA,-22.594,-43.2715093
FISER FISIOTERAPIA E REABILITACAO,Rio de Janeiro,R CAROLINA MACHADO,MADUREIRA,-22.874669,-43.33976
FONOCERTA CLINICA MULTIDISCIPLINAR SOCIEDADE SIMPLES,São Gonçalo,AVENIDA PRESIDENTE KENNEDY,ESTRELA DO NORTE,-22.8270729,-43.0549518
CROM CENTRO DE REABILITACAO OROMIOFUNCIONAL,Niterói,CEL MOREIRA CESAR,ICARAI,-22.8265129443,-43.0517550623
CLINICA PHINASCER DE FISIOTERAPIA,Rio de Janeiro,RUA PADRE ELIAS GORAYEB,TIJUCA,-22.9256694,-43.2344599
SMS CF KELLY CRISTINA DE SA LACERDA SILVA AP 51,Rio de Janeiro,AVENIDA CARLOS SAMPAIO CORREA,SENADOR CAMARA,-22.887414,-43.481981
CENTRO DE REABILITACAO DRA MAINARDI,Rio de Janeiro,NELSON CARDOSO,TAQUARA,-22.214592,-43.707217
ALM REABILITACAO,Rio de Janeiro,RUA REGO LOPES,TIJUCA,-22.9251816,-43.223482
SMS CENTRO DE EMERGENCIA REGIONAL CER SANTA CRUZ AP 53,Rio de Janeiro,RUA DO PRADO,SANTA CRUZ,-22.90344,-43.2084
CRESCER,Niterói,RUA MAGNOLIA BRASIL,FONSECA,-22.885110923,-43.0926918983
MS INCA HOSPITAL DO CANCER IV CUIDADOS PALIATIVOS,Rio de Janeiro,RUA VISCONDE SANTA ISABEL,VILA ISABEL,-22.925686,-43.2618207
SMS CAPSI III MAURICIO DE SOUSA AP 21,Rio de Janeiro,AVENIDA VENCESLAU BRAS,BOTAFOGO,-22.9527986,-43.17528628
SMS CAPSI VISCONDE DE SABUGOSA AP 31,Rio de Janeiro,AV GUANABARA,MARE,-22.85213,-43.246931
CAPSAD RENATO RUSSO,Duque de Caxias,RUA NILO VIEIRA,JARDIM 25 DE AGOSTO,-22.7841129377,-43.3155929338
SMS CAPS AD III ANTONIO CARLOS MUSSUM AP 40,Rio de Janeiro,AVENIDA SAMPAIO CORREA,TAQUARA,-22.9373766,-43.3915413
SMS RIO COORD DE EMERGENCIA REGIONAL CER ILHA DO GOV AP 31,Rio de Janeiro,ESTRADA DO GALEAO,PORTUGUESA,-22.8052174,-43.2110472
CENTRO MEDICO NASCER E RENASCER,Rio de Janeiro,RUA AURELIO VALPORTO,MARECHAL HERMES,-22.8588818,-43.3701276
SMS CAPSI HEITOR VILLA LOBOS AP 33,Rio de Janeiro,RUA PADRE MANSO,MADUREIRA,-22.87719,-43.33728
SMS CAPS AD JULIO CESAR DE CARVALHO AP 53,Rio de Janeiro,RUA SEVERIANO DAS CHAGAS,SANTA CRUZ,-22.9153712,-43.6800045
CICERO ANTONIO MONTEIRO DE SOUZA,Rio de Janeiro,AV RIO BRANCO,CENTRO,-22.905971,-43.1775918
CENTRO DE REABILITACAO ORAL,Rio de Janeiro,RUA SILVA RABELO,MEIER,-22.9015589,-43.2795675
SES RJ HOSPITAL ESTADUAL TRANSPLANTE CANCER E CIR INFANTIL,Rio de Janeiro,RUA LUIZ BELTRAO,VILA VALQUEIRE,-22.8851061,-43.3686044
MANOELA FERNANDES CERQUEIRA,Rio de Janeiro,RUA CONDE DE BONFIM,TIJUCA,-22.9233523,-43.2314523
CLINICA DE REABILITACAO MARIA DE LOURDES,Rio de Janeiro,RUA CONDE DE LINHARES,OSWALDO CRUZ,-22.8770437,-43.3496097
SARE SAUDE E REABILITACAO,Niterói,MARIO ALVES,ICARAI,-22.9003,-43.1077
FIOCRUZ IOC LABORATORIO DE SIMULIDEOS E ONCOCERCOSE,Rio de Janeiro,AV BRASIL,MANGUINHOS,-22.9393152298,-43.4023631825
FISIOPLUS FISIOTERAPIA E REABILITACAO,Rio de Janeiro,CAROLINA MACHADO,MADUREIRA,-22.8812973,-43.3294518
SES RJ INSTITUTO ESTADUAL DO CEREBRO PAULO NIEMEYER,Rio de Janeiro,RUA DO REZENDE,CENTRO,-22.4627,-44.4556
CERES MARIA DE FRANCA BEZERRA,Rio de Janeiro,AVN RIO BRANCO,CENTRO,-22.9090741,-43.1770539
FISIOCERTA CLINICA DE FISIOTERAPIA,Rio de Janeiro,AV NOSSA SENHORA DE COPACABANA,COPACABANA,-23.0002737349,-43.3686161041
FISIOGUIO REABILITACAO EM SAUDE,Rio de Janeiro,RUA HADDOCK LOBO,TIJUCA,-22.9166361,-43.2097521
CAPS UERJ UNIVERSITARIO,Rio de Janeiro,AVENIDA MARECHAL RONDON,SAO FRANCISCO XAVEIR,-22.90607585,-43.2442544333
FISIOART SERVICOS DE REABILITACAO EM FISIOTERAPIA,Rio de Janeiro,DAS AMERICAS,BARRA DA TIJUCA,-23.001114,-43.337295
JACER FERREIRA DA SILVA,Rio de Janeiro,RUA GENERAL ROCA,TIJUCA,-22.9236839851,-43.2349348068
MARIA MARLENE LACERDA BALBI CONSULTORIO TIJUCA,Rio de Janeiro,RUA DESEMBARGADOR IZIDRO,TIJUCA,-22.92643,-43.23323
CAPS III FRANCISCO DOS SANTOS SIQUEIRA,São Gonçalo,RUA MARIA RITA,PORTO NOVO,-22.831266,-43.0730086
SMS CAPS AD MIRIAM MAKEBA AP 31,Rio de Janeiro,RUA PROFESSOR LACE,RAMOS,-22.857683,-43.250543
MARCO ANTONIO LACERDA LIMA,Rio de Janeiro,AV NELSON CARDOSO,TAQUARA,-22.9169706,-43.3627877
FISIO DOCTOR CLINICA DE FISIOTERAPIA E REABILITACAO,Rio de Janeiro,RUA PADRE ELIAS GOYAREB,TIJUCA,-22.9035735987,-43.2079839706
HOSPITAL FUNDACAO DO CANCER,Rio de Janeiro,RUA ARISTIDES CAIRE,MEIER,-22.8995215136,-43.2792663574
ERIKA TIEMI IRIE CERQUEIRA,Rio de Janeiro,RUA CAROLINA MACHADO,MADUREIRA,-22.874176,-43.340294
SMS CAPS AD III PAULO DA PORTELA AP 33,Rio de Janeiro,RUA PIRAPORA,TURIACU,-22.86636,-43.3448
CLINICA PRO FACE DE CIRURGIA CERVICO FACIAL,Rio de Janeiro,SOROCABA,BOTAFOGO,-22.95393,-43.18984
FATIMA PEREIRA DE CAMPOS CERVEIRA,Rio de Janeiro,AVENIDA BRAZ DE PINA,BRAZ DE PINA,-22.833623,-43.318564
SILVIANO FIGUEIRA DE CERQUEIRA,Rio de Janeiro,RUA REAL GRANDEZA,BOTAFOGO,-22.9590436,-43.1911264
CENTRO DE REABILITACAO MARCELO FERNANDES,Rio de Janeiro,ESTRADA RIO SAO PAULO,CAMPO GRANDE,-22.8938953386,-43.5613033175
DENTAL CARE REABILITACAO ORAL,Rio de Janeiro,MEXICO,CENTRO,-22.907925,-43.175663
SMS CAPS FRANCO BASAGLIA AP 21,Rio de Janeiro,AV VENCESLAU BRAS,BOTAFOGO,-22.952751,-43.175891
A SAMPAIO IMPLANTODONTIA E REABILITACAO ORAL,Rio de Janeiro,AVN AYRTON SENNA,BARRA DA TIJUCA,-22.99237705,-43.36429371
SMS CAPS NEUSA SANTOS SOUZA AP 51,Rio de Janeiro,RUA BAALBECK,SENADOR CAMARA,-22.880792,-43.491914
INSTITUTO DO RIM E DO CEREBRO SERVICOS MEDICOS,Rio de Janeiro,AYRTON SENNA,BARRA DA TIJUCA,-22.9879480171,-43.3652687073
